index,gt,pred,file_name
1275,pill-color,pill-good,21275
1318,transistor-cut_lead,transistor-good,21318
1320,zipper-rough,zipper-broken_teeth,21320
1352,grid-thread,grid-metal_contamination,21352
1381,toothbrush-defective,toothbrush-good,21381
1382,leather-cut,leather-poke,21382
1417,capsule-scratch,capsule-good,21417
1426,screw-scratch_neck,screw-thread_side,21426
1431,toothbrush-defective,toothbrush-good,21431
1443,capsule-scratch,capsule-good,21443
1459,carpet-good,carpet-metal_contamination,21459
1467,zipper-split_teeth,zipper-broken_teeth,21467
1473,bottle-contamination,bottle-good,21473
1479,wood-scratch,tile-rough,21479
1499,pill-scratch,pill-good,21499
1500,pill-faulty_imprint,pill-good,21500
1501,pill-scratch,pill-good,21501
1514,capsule-crack,capsule-good,21514
1525,pill-contamination,pill-good,21525
1528,grid-good,grid-broken,21528
1529,cable-combined,cable-cut_inner_insulation,21529
1532,grid-broken,grid-bent,21532
1536,metal_nut-color,metal_nut-bent,21536
1540,wood-scratch,wood-good,21540
1574,pill-faulty_imprint,pill-scratch,21574
1578,zipper-rough,zipper-broken_teeth,21578
1583,leather-fold,leather-cut,21583
1585,cable-poke_insulation,cable-bent_wire,21585
1594,carpet-hole,carpet-cut,21594
1629,zipper-combined,zipper-fabric_border,21629
1658,grid-metal_contamination,grid-broken,21658
1662,capsule-crack,capsule-good,21662
1665,zipper-broken_teeth,zipper-split_teeth,21665
1676,bottle-broken_small,bottle-broken_large,21676
1691,capsule-poke,capsule-good,21691
1700,toothbrush-defective,toothbrush-good,21700
1701,carpet-hole,carpet-cut,21701
1705,capsule-poke,capsule-good,21705
1706,screw-good,screw-thread_side,21706
1714,cable-combined,cable-bent_wire,21714
1727,grid-broken,grid-bent,21727
1737,transistor-bent_lead,transistor-good,21737
1749,wood-scratch,tile-rough,21749
1751,bottle-contamination,bottle-good,21751
1757,cable-poke_insulation,cable-good,21757
1768,toothbrush-defective,toothbrush-good,21768
1772,capsule-squeeze,capsule-good,21772
1779,capsule-poke,capsule-good,21779
1781,pill-faulty_imprint,pill-good,21781
1792,capsule-poke,capsule-good,21792
1809,zipper-fabric_border,zipper-good,21809
1820,toothbrush-defective,toothbrush-good,21820
1831,carpet-hole,carpet-cut,21831
1840,pill-scratch,pill-good,21840
1881,capsule-crack,capsule-good,21881
1891,leather-cut,leather-poke,21891
1918,zipper-fabric_interior,zipper-combined,21918
1923,transistor-good,transistor-misplaced,21923
1934,metal_nut-color,metal_nut-good,21934
1944,cable-combined,cable-cut_outer_insulation,21944
1968,cable-combined,cable-bent_wire,21968
1990,zipper-split_teeth,zipper-squeezed_teeth,21990
1995,capsule-crack,capsule-good,21995
1999,screw-good,screw-thread_side,21999
2000,screw-good,screw-thread_side,22000
2012,metal_nut-color,metal_nut-good,22012
2027,capsule-poke,capsule-good,22027
2028,wood-scratch,wood-combined,22028
2034,screw-good,screw-thread_side,22034
2041,metal_nut-scratch,metal_nut-bent,22041
2055,zipper-good,zipper-rough,22055
2060,grid-thread,grid-metal_contamination,22060
2078,pill-color,pill-combined,22078
2089,capsule-poke,capsule-good,22089
2092,pill-faulty_imprint,pill-good,22092
2095,pill-color,pill-good,22095
2116,capsule-poke,capsule-good,22116
2120,screw-manipulated_front,screw-good,22120
2130,grid-thread,carpet-color,22130
2138,pill-scratch,pill-faulty_imprint,22138
2141,leather-poke,leather-cut,22141
2152,cable-poke_insulation,cable-good,22152
