index,gt,pred,file_name
422,metal_nut-color,metal_nut-bent,20422
425,pill-crack,pill-good,20425
444,transistor-good,transistor-bent_lead,20444
445,transistor-cut_lead,transistor-good,20445
446,carpet-thread,carpet-good,20446
447,zipper-broken_teeth,zipper-split_teeth,20447
452,bottle-broken_small,bottle-contamination,20452
466,capsule-crack,screw-thread_top,20466
474,screw-manipulated_front,screw-good,20474
480,pill-crack,pill-scratch,20480
482,carpet-cut,carpet-hole,20482
484,screw-scratch_neck,screw-good,20484
488,hazelnut-crack,hazelnut-hole,20488
491,cable-missing_wire,cable-poke_insulation,20491
492,cable-cut_inner_insulation,cable-missing_wire,20492
493,screw-thread_side,screw-good,20493
495,capsule-crack,capsule-good,20495
496,transistor-cut_lead,transistor-good,20496
510,capsule-poke,capsule-good,20510
511,screw-manipulated_front,screw-good,20511
512,transistor-good,transistor-cut_lead,20512
520,tile-good,tile-gray_stroke,20520
525,zipper-combined,zipper-fabric_border,20525
526,cable-good,cable-missing_wire,20526
528,capsule-poke,capsule-crack,20528
538,pill-good,pill-scratch,20538
542,grid-metal_contamination,zipper-broken_teeth,20542
551,capsule-crack,capsule-good,20551
558,zipper-broken_teeth,zipper-combined,20558
559,screw-thread_side,screw-good,20559
561,capsule-scratch,capsule-faulty_imprint,20561
578,grid-good,grid-glue,20578
580,pill-contamination,pill-good,20580
581,metal_nut-good,metal_nut-bent,20581
583,carpet-hole,carpet-cut,20583
593,zipper-broken_teeth,zipper-split_teeth,20593
598,zipper-broken_teeth,zipper-rough,20598
608,transistor-cut_lead,transistor-good,20608
611,grid-good,grid-glue,20611
616,pill-good,pill-color,20616
621,cable-cut_outer_insulation,cable-cable_swap,20621
642,transistor-cut_lead,transistor-good,20642
649,zipper-split_teeth,zipper-broken_teeth,20649
653,screw-manipulated_front,screw-good,20653
654,grid-thread,zipper-fabric_interior,20654
658,capsule-squeeze,capsule-good,20658
666,transistor-good,transistor-cut_lead,20666
671,pill-crack,zipper-broken_teeth,20671
674,pill-faulty_imprint,pill-scratch,20674
677,pill-crack,pill-faulty_imprint,20677
684,cable-cut_outer_insulation,cable-good,20684
690,metal_nut-color,metal_nut-good,20690
699,bottle-good,bottle-contamination,20699
703,screw-scratch_neck,screw-thread_side,20703
710,pill-crack,pill-scratch,20710
720,capsule-good,capsule-scratch,20720
732,pill-good,pill-scratch,20732
733,pill-faulty_imprint,pill-contamination,20733
735,metal_nut-color,metal_nut-bent,20735
738,capsule-scratch,capsule-good,20738
742,pill-color,pill-combined,20742
743,pill-faulty_imprint,pill-contamination,20743
748,pill-combined,pill-scratch,20748
772,wood-scratch,wood-combined,20772
786,toothbrush-defective,toothbrush-good,20786
789,cable-cut_outer_insulation,cable-good,20789
811,capsule-scratch,capsule-good,20811
820,pill-scratch,pill-faulty_imprint,20820
829,transistor-cut_lead,transistor-good,20829
839,pill-good,pill-crack,20839
843,screw-manipulated_front,screw-good,20843
855,capsule-crack,capsule-poke,20855
867,cable-cut_outer_insulation,cable-good,20867
874,pill-color,leather-color,20874
876,screw-thread_top,screw-thread_side,20876
883,capsule-crack,capsule-poke,20883
887,pill-color,pill-combined,20887
893,cable-good,cable-poke_insulation,20893
896,pill-good,pill-scratch,20896
898,cable-cut_outer_insulation,cable-poke_insulation,20898
909,metal_nut-scratch,metal_nut-good,20909
913,capsule-squeeze,capsule-good,20913
919,transistor-good,transistor-cut_lead,20919
932,capsule-squeeze,capsule-crack,20932
933,metal_nut-color,metal_nut-good,20933
947,capsule-scratch,capsule-crack,20947
956,capsule-poke,capsule-crack,20956
957,transistor-bent_lead,transistor-good,20957
962,pill-crack,pill-good,20962
975,tile-crack,carpet-thread,20975
1009,screw-scratch_head,screw-good,21009
1017,zipper-split_teeth,zipper-squeezed_teeth,21017
1027,pill-faulty_imprint,pill-contamination,21027
1047,grid-broken,grid-bent,21047
1049,transistor-bent_lead,transistor-good,21049
1058,zipper-fabric_border,zipper-good,21058
1074,screw-manipulated_front,screw-good,21074
1075,zipper-good,zipper-split_teeth,21075
1086,bottle-broken_small,bottle-good,21086
1106,zipper-squeezed_teeth,zipper-combined,21106
1109,capsule-poke,capsule-crack,21109
1114,bottle-good,bottle-broken_large,21114
1120,metal_nut-scratch,metal_nut-good,21120
1125,zipper-fabric_border,zipper-broken_teeth,21125
1133,toothbrush-good,toothbrush-defective,21133
1142,capsule-crack,capsule-squeeze,21142
1145,cable-cut_inner_insulation,cable-missing_wire,21145
1154,zipper-broken_teeth,zipper-split_teeth,21154
1163,cable-poke_insulation,cable-missing_wire,21163
1176,leather-cut,leather-poke,21176
1179,transistor-misplaced,transistor-good,21179
1184,toothbrush-defective,toothbrush-good,21184
1192,capsule-squeeze,capsule-good,21192
1203,bottle-broken_small,bottle-contamination,21203
1216,capsule-squeeze,capsule-good,21216
1221,metal_nut-scratch,metal_nut-bent,21221
1223,capsule-poke,capsule-good,21223
1226,capsule-poke,capsule-good,21226
1233,transistor-bent_lead,transistor-good,21233
1240,pill-color,pill-good,21240
1261,pill-faulty_imprint,pill-contamination,21261
1270,zipper-broken_teeth,zipper-split_teeth,21270
1278,transistor-damaged_case,transistor-good,21278
1290,pill-good,pill-color,21290
1318,transistor-cut_lead,transistor-good,21318
1320,zipper-rough,zipper-combined,21320
1330,transistor-misplaced,transistor-bent_lead,21330
1353,transistor-cut_lead,transistor-good,21353
1365,metal_nut-scratch,metal_nut-bent,21365
1371,screw-manipulated_front,screw-good,21371
1381,toothbrush-defective,toothbrush-good,21381
1382,leather-cut,leather-poke,21382
1384,metal_nut-scratch,metal_nut-bent,21384
1390,zipper-split_teeth,zipper-squeezed_teeth,21390
1395,capsule-squeeze,capsule-crack,21395
1402,cable-poke_insulation,cable-good,21402
1407,pill-good,pill-color,21407
1409,pill-good,pill-scratch,21409
1417,capsule-scratch,capsule-good,21417
1423,metal_nut-scratch,metal_nut-good,21423
1426,screw-scratch_neck,screw-thread_side,21426
1437,metal_nut-scratch,metal_nut-good,21437
1438,toothbrush-good,toothbrush-defective,21438
1443,capsule-scratch,capsule-good,21443
1459,carpet-good,carpet-metal_contamination,21459
1461,transistor-good,transistor-cut_lead,21461
1464,carpet-hole,carpet-thread,21464
1465,leather-poke,leather-cut,21465
1478,cable-cut_outer_insulation,cable-good,21478
1479,wood-scratch,tile-rough,21479
1499,pill-scratch,pill-good,21499
1514,capsule-crack,capsule-poke,21514
1525,pill-contamination,pill-good,21525
1528,grid-good,grid-broken,21528
1529,cable-combined,cable-missing_wire,21529
1532,grid-broken,grid-glue,21532
1536,metal_nut-color,metal_nut-good,21536
1561,screw-manipulated_front,screw-good,21561
1574,pill-faulty_imprint,pill-scratch,21574
1578,zipper-rough,zipper-broken_teeth,21578
1585,cable-poke_insulation,cable-bent_wire,21585
1592,pill-contamination,pill-good,21592
1594,carpet-hole,carpet-cut,21594
1609,bottle-broken_small,bottle-contamination,21609
1629,zipper-combined,zipper-fabric_border,21629
1643,grid-metal_contamination,grid-glue,21643
1658,grid-metal_contamination,grid-broken,21658
1662,capsule-crack,capsule-good,21662
1665,zipper-broken_teeth,zipper-split_teeth,21665
1689,pill-combined,pill-color,21689
1695,cable-cable_swap,cable-good,21695
1701,carpet-hole,carpet-cut,21701
1705,capsule-poke,capsule-good,21705
1714,cable-combined,cable-bent_wire,21714
1717,leather-poke,leather-cut,21717
1719,grid-broken,grid-glue,21719
1723,metal_nut-scratch,metal_nut-good,21723
1727,grid-broken,grid-bent,21727
1737,transistor-bent_lead,transistor-good,21737
1749,wood-scratch,tile-rough,21749
1757,cable-poke_insulation,cable-missing_wire,21757
1779,capsule-poke,capsule-good,21779
1781,pill-faulty_imprint,pill-scratch,21781
1788,pill-good,pill-faulty_imprint,21788
1792,capsule-poke,capsule-crack,21792
1803,screw-thread_top,screw-thread_side,21803
1807,metal_nut-scratch,metal_nut-good,21807
1820,toothbrush-defective,toothbrush-good,21820
1828,zipper-fabric_border,screw-scratch_head,21828
1831,carpet-hole,carpet-cut,21831
1840,pill-scratch,pill-good,21840
1845,screw-thread_side,screw-scratch_neck,21845
1859,cable-good,cable-cable_swap,21859
1875,screw-manipulated_front,screw-good,21875
1880,capsule-scratch,capsule-good,21880
1918,zipper-fabric_interior,zipper-combined,21918
1923,transistor-good,transistor-cut_lead,21923
1927,pill-good,pill-scratch,21927
1932,cable-good,cable-poke_insulation,21932
1934,metal_nut-color,metal_nut-good,21934
1944,cable-cut_outer_insulation,cable-poke_insulation,21944
1950,cable-cut_outer_insulation,cable-missing_wire,21950
1968,cable-combined,cable-bent_wire,21968
1974,pill-crack,pill-scratch,21974
1990,zipper-split_teeth,zipper-squeezed_teeth,21990
1991,cable-good,cable-poke_insulation,21991
1992,cable-cut_outer_insulation,cable-good,21992
1995,capsule-crack,capsule-good,21995
1999,screw-good,screw-thread_side,21999
2012,metal_nut-color,metal_nut-good,22012
2027,capsule-poke,capsule-crack,22027
2028,wood-scratch,wood-combined,22028
2034,screw-good,screw-thread_side,22034
2041,metal_nut-scratch,metal_nut-bent,22041
2049,pill-contamination,pill-good,22049
2052,zipper-fabric_interior,zipper-combined,22052
2053,transistor-cut_lead,transistor-good,22053
2054,screw-manipulated_front,screw-good,22054
2055,zipper-good,zipper-broken_teeth,22055
2073,carpet-hole,zipper-broken_teeth,22073
2077,screw-scratch_head,screw-good,22077
2078,pill-color,pill-combined,22078
2088,screw-thread_side,screw-good,22088
2089,capsule-poke,capsule-crack,22089
2104,cable-good,cable-bent_wire,22104
2116,capsule-poke,capsule-good,22116
2120,screw-manipulated_front,screw-good,22120
2138,pill-scratch,pill-faulty_imprint,22138
2145,metal_nut-scratch,metal_nut-good,22145
2152,cable-poke_insulation,cable-good,22152
