index,gt,pred,file_name
1009,screw-scratch_head,screw-thread_side,21009
1023,metal_nut-bent,metal_nut-good,21023
1027,pill-faulty_imprint,pill-contamination,21027
1032,tile-rough,pill-combined,21032
1047,grid-broken,grid-bent,21047
1058,zipper-fabric_border,zipper-good,21058
1075,zipper-good,zipper-split_teeth,21075
1106,zipper-squeezed_teeth,zipper-combined,21106
1109,capsule-poke,capsule-good,21109
1123,pill-scratch,pill-crack,21123
1125,zipper-fabric_border,zipper-broken_teeth,21125
1133,toothbrush-defective,toothbrush-good,21133
1142,capsule-crack,capsule-squeeze,21142
1154,zipper-broken_teeth,zipper-split_teeth,21154
1163,cable-poke_insulation,cable-good,21163
1176,leather-cut,leather-poke,21176
1184,toothbrush-defective,toothbrush-good,21184
1198,toothbrush-defective,toothbrush-good,21198
1216,capsule-squeeze,capsule-good,21216
1220,pill-good,pill-scratch,21220
1221,metal_nut-scratch,metal_nut-bent,21221
1222,pill-contamination,pill-crack,21222
1223,capsule-poke,capsule-good,21223
1233,transistor-bent_lead,transistor-good,21233
1234,zipper-combined,zipper-fabric_border,21234
1240,pill-color,pill-good,21240
1255,screw-good,screw-scratch_neck,21255
1257,transistor-bent_lead,transistor-good,21257
1261,pill-faulty_imprint,pill-good,21261
1270,zipper-broken_teeth,zipper-split_teeth,21270
1294,pill-scratch,pill-good,21294
1318,transistor-cut_lead,transistor-good,21318
1352,grid-thread,grid-metal_contamination,21352
1353,transistor-cut_lead,transistor-good,21353
1371,screw-manipulated_front,screw-thread_side,21371
1381,toothbrush-defective,toothbrush-good,21381
1382,leather-cut,leather-poke,21382
1390,zipper-split_teeth,zipper-good,21390
1402,cable-poke_insulation,cable-good,21402
1407,pill-good,pill-color,21407
1417,capsule-scratch,capsule-good,21417
1426,screw-scratch_neck,screw-thread_side,21426
1431,toothbrush-defective,toothbrush-good,21431
1443,capsule-scratch,capsule-good,21443
1459,carpet-good,carpet-metal_contamination,21459
1473,bottle-contamination,bottle-good,21473
1478,cable-cut_outer_insulation,cable-good,21478
1479,wood-scratch,tile-rough,21479
1499,pill-scratch,pill-good,21499
1500,pill-faulty_imprint,pill-good,21500
1501,pill-scratch,pill-good,21501
1514,capsule-crack,capsule-good,21514
1528,grid-good,grid-broken,21528
1529,cable-combined,cable-good,21529
1536,metal_nut-color,metal_nut-good,21536
1540,wood-scratch,wood-good,21540
1546,hazelnut-cut,hazelnut-crack,21546
1574,pill-faulty_imprint,pill-good,21574
1578,zipper-rough,zipper-broken_teeth,21578
1583,leather-fold,leather-cut,21583
1585,cable-poke_insulation,cable-bent_wire,21585
1592,pill-contamination,pill-crack,21592
1594,carpet-hole,carpet-cut,21594
1629,zipper-combined,zipper-good,21629
1643,grid-metal_contamination,grid-broken,21643
1653,zipper-good,zipper-fabric_interior,21653
1658,grid-metal_contamination,grid-broken,21658
1665,zipper-broken_teeth,zipper-split_teeth,21665
1671,hazelnut-cut,hazelnut-good,21671
1700,toothbrush-defective,toothbrush-good,21700
1705,capsule-poke,capsule-good,21705
1706,screw-good,screw-thread_side,21706
1709,bottle-broken_large,bottle-broken_small,21709
1714,cable-combined,cable-bent_wire,21714
1719,grid-broken,grid-glue,21719
1730,leather-glue,leather-poke,21730
1737,transistor-bent_lead,transistor-good,21737
1739,leather-fold,leather-cut,21739
1744,carpet-metal_contamination,carpet-thread,21744
1749,wood-scratch,tile-rough,21749
1751,bottle-contamination,bottle-good,21751
1779,capsule-poke,capsule-good,21779
1781,pill-faulty_imprint,pill-good,21781
1788,pill-crack,pill-faulty_imprint,21788
1792,capsule-poke,capsule-good,21792
1809,zipper-fabric_border,zipper-good,21809
1817,carpet-cut,carpet-hole,21817
1818,zipper-broken_teeth,zipper-split_teeth,21818
1820,toothbrush-defective,toothbrush-good,21820
1828,zipper-fabric_border,zipper-rough,21828
1830,zipper-combined,zipper-fabric_interior,21830
1831,carpet-hole,carpet-cut,21831
1840,pill-scratch,pill-contamination,21840
1845,screw-thread_side,screw-scratch_neck,21845
1859,cable-good,cable-cable_swap,21859
1875,screw-manipulated_front,screw-thread_top,21875
1881,capsule-crack,capsule-squeeze,21881
1889,capsule-crack,capsule-good,21889
1918,zipper-fabric_interior,zipper-combined,21918
1923,transistor-good,transistor-cut_lead,21923
1934,metal_nut-color,metal_nut-good,21934
1944,cable-combined,cable-poke_insulation,21944
1950,cable-cut_outer_insulation,cable-good,21950
1968,cable-combined,cable-bent_wire,21968
1991,cable-good,cable-poke_insulation,21991
1992,cable-cut_outer_insulation,cable-good,21992
1995,capsule-crack,capsule-good,21995
1999,screw-good,screw-thread_side,21999
2000,screw-good,screw-thread_side,22000
2012,metal_nut-color,metal_nut-good,22012
2027,capsule-poke,capsule-good,22027
2028,wood-scratch,wood-combined,22028
2031,zipper-squeezed_teeth,zipper-good,22031
2034,screw-good,screw-thread_side,22034
2041,metal_nut-scratch,metal_nut-bent,22041
2049,pill-contamination,pill-good,22049
2053,transistor-cut_lead,transistor-good,22053
2055,zipper-good,zipper-broken_teeth,22055
2060,grid-thread,grid-metal_contamination,22060
2077,screw-scratch_head,screw-manipulated_front,22077
2078,pill-color,pill-combined,22078
2089,capsule-poke,capsule-good,22089
2095,pill-color,pill-good,22095
2116,capsule-poke,capsule-good,22116
2120,screw-manipulated_front,screw-thread_side,22120
2152,cable-poke_insulation,cable-good,22152
